person,title,rating,review,review_date
0ozlems,Amazing view,40,We walked up the hill from narrow streets to the monastery. It was quite crowded but worth it. They give you clothes if your clothing is not appropriate to enter the monastery.,6-Aug-17
123arthura,Exceptional,50,You can't leave Patmos without seeing the Monastery!  It dates from the 12th century and I dedicated to St. John (the cave where he wrote the Apocalypse) is further down the hill.    There's a museum (€2) that has great relics and amazing artifacts!    Parking is available on the road at the entrance of Chora (the town at the top of the hill),8-Aug-16
355stevez,Great site,50,Plenty to see at site and in museum. Lots of steps up but worth the climb. Take the time to see the chapel and church.,19-Oct-18
388manolom,Incredible Art and awesome views,50,"The views from the monastery are absolutely fantastic, the artwork in the museum is amazing and well worth the visit.",22-Jun-17
422aldiss,A place to see,40,Walking through the narrow streets of Hora in the vicinity of the monastery. A wonderful view of the island from the top of the monastery.,2-Oct-14
52julieB,Nice place to visit,30,Impressive from the outside but not a lot to see once inside. A few nice photos to take and if you are religious the few areas of the monastery devoted to religion are ok,13-Sep-15
64leannej,Breath taking views,50,You can take the bus from the town square or hike up if you are very fit worth the trip a lovely serene place . With one of the most important museums in the world . The views from the top are spectacular,29-Apr-16
65YvonneT,Inspiring,50,For the Christian believer this is truly an inspiring place to visit. As is the cave where St John received the revelation from God. Unforgettable experience!,11-May-14
678andyb,Interesting and worth the visit,50,"Obe of the main sites to visit in Patmos and definitely worthwhile. The museum is extremely interesting especially (for me) the remains of the old temple of artemis formerly on the site, which was an unexpected find. Nice to see the monks around and pleased that most visitors were respectfully dressed given for many this is a very holy site.",30-Jul-18
777oddh,The crown of the jewel.,40,"Monastery of Saint John the Divine, sits on the hilltop above Skala harbor in the town called Chora(Khora) as a crown on the beautiful island of Patmos. It is a Greek Orthodox monastery founded in 1088, and is a ""must"" if you are on the island. It is listed on UNESCO`s World Heritage list and has a spectacular collection of icons and costly items. It is supposed to have a pact of defense with Katharina the Great of Russia. The monastery has, among its relics, the skull of Saint Thomas the Apostle, something I personally find strange, since he probably died in southern parts of India. But a visit is of great interest for people looking for more than just a leisure holliday.",29-Sep-15
824carlad,The Theological school,40,Where the theological school was established in 1713 .Its dark façade provides a contrast with its interior. There you may visit some of the 5 chapels and the old treasury in a museum.,25-Jun-16
837louisek,Monastery in a quaint town,40,"I could see the monastery when our ferry was approaching the island. Make sure to obtain a map of the island even though it's not that big. The monastery is in the Hora area of the island and at the top of the hill. As you ascend the stairs that leads to the entrace, someone will take your picture which you may purchase for 4 euros after yours visit. A 4.00 euro entry fee will let you into the monastery with a museum. The inside of the church is quite ornate and filled with wall murals of religious figures and scenes. To me, it is all very gaudy. The museum is full of religious icons, gospels, some marble fragments, etc. It's worth a visit, as it's a UNESCO site. If you don't have the proper attire, there are shawls available to cover up. Parking is a bit tight, so may be go there in early morning. Check opening hours as they may be closed in some afternoons. Plenty of restaurants and souvenirs close by.",13-Aug-15
84roelv,nice place with nice views,50,"When in Patmos you must visit the Monastery of St. John.  It is located in Chora, 4,5 kilometers from Skala. You can take a hike up the hill or go by bus, car or scooter. Nice place to visit with nice views.",26-May-18
894vesnai,By cruise...,50,"I was by Celestyal Olympia cruiser, do I spent just 4 hours on the island  Enough to see, to feel piecfullnes at Monastery and museum.  4€ and 2€  Really have to see. Taxi is 40€(30€)  So, 4 of us split..  Such a Top ""to do"" thing on Patmos  I recommend deeply",26-Oct-19
920katerinap,Wonderful building on the top of the Chora,50,"Wonderful old monastery with treasures not only in icons and religious objects but also in old books. Apart from the churches the museum is a must to see. And the views are amazing! In the right side of the main church is the Chapel of Virgin Mary. Look for the icon on the temple ""Η ΚΥΡΙΑ ΤΩΝ ΑΓΓΕΛΩΝ"". And enjoy the architecture and frescoes of the monastery. For Greek people the entrance is free, the museum has an entrance ticket of EUR2.",26-Jul-15
975kimberleys,St Johns Monastery,40,"Very beautiful place to visit. Not much to do when inside, few churches and a very nice museum but a nice place for pictures. Museum has so many old artifacts, books from 6ad etc. Very nice and peaceful place to visit. 4euro entry to monastery and 6euro entry to the museum.    Ladies to cover legs when inside the monastery, they provide shawls there to wrap around you.    30 monks still live inside the monastery",19-Nov-14
abcreviewer,A must see if visitng Hora!,40,"The monastery dominates Hora and you can see it from Scala. We walked to Hora from Grikos, along the donkey trails, past the goat farms - a trek but worth it. We hadn't decided whether to go in but, for 4 euros, it seemed a no brainer. It isn't too big which helps but varied enough to keep it interesting. You also have acces to the museum with your ticket and again, not too big but with some interesting exhibits. Hora, is a quaint village, with amazing restored windmils as well as the monastery and a must if you are in Patmos.",25-Jun-13
